NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
561,"Administrative and Support Services",3474.30901115,3547.90609308,73.597081936,0.0211832285786,0.579405651018,0.0114606289283
721,Accommodation,795.295569946,919.586170364,124.290600418,0.156282274308,0.132630329075,0.016336120816
903,"Local Government",439.520075785,446.44082232,6.92074653427,0.0157461442959,0.0732981478701,0.000943996244403
814,"Private Households",262.672235013,256.606409969,-6.06582504416,-0.023092753004,0.0438054809873,0.00243335734858
623,"Nursing and Residential Care Facilities",201.63442918,228.872679321,27.2382501404,0.135087297597,0.0336262915394,0.00207423585013
611,"Educational Services",113.618418694,115.301442593,1.68302389899,0.0148129495053,0.018947984661,0.000631063753179
902,"State Government",100.089290604,109.953991501,9.86470089711,0.0985590050406,0.0166917509053,0.0010053252852
622,Hospitals,96.4029698453,99.5644216183,3.16145177303,0.0327941325677,0.0160769883519,0.00078267613941
531,"Real Estate",73.7246499174,76.4636452024,2.73899528502,0.0371516892666,0.012294956679,0.000778006583926
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",61.3700750385,61.3719131997,0.00183816117671,2.99520764079E-5,0.0102346015183,0.000873258685937
722,"Food Services and Drinking Places",47.03990372,54.5211248554,7.48122113536,0.15903989047,0.00784477890459,0.000116401407883
624,"Social Assistance",46.6938884072,51.680313792,4.98642538483,0.106789679655,0.00778707441517,0.000127723563855
713,"Amusement, Gambling, and Recreation Industries",38.1691524896,43.896170194,5.72701770439,0.150043093201,0.00636541613772,0.000794836678779
311,"Food Manufacturing",24.7930901748,27.4040671595,2.61097698461,0.105310671893,0.00413470894713,0.000609940656793
621,"Ambulatory Health Care Services",23.8290114791,27.0449227931,3.21591131402,0.13495781463,0.0039739308924,8.12320158433E-5
812,"Personal and Laundry Services",23.7312971227,25.5859778414,1.85468071874,0.0781533646961,0.00395763520595,0.000236941728283
541,"Professional, Scientific, and Technical Services",20.71379997,21.5223103345,0.808510364568,0.0390324501414,0.00345441142919,5.54805411098E-5
711,"Performing Arts, Spectator Sports, and Related Industries",18.9506870109,22.5965134051,3.64582639419,0.192384919454,0.00316037954872,0.000222464349202
445,"Food and Beverage Stores",10.6780687886,10.7066900715,0.0286212828792,0.00268038008049,0.00178076658646,0.000104349624224
488,"Support Activities for Transportation",9.41404739534,9.93194751016,0.517900114826,0.0550135444487,0.00156996750787,0.000163813646872
551,"Management of Companies and Enterprises",8.82365115534,9.02866294598,0.205011790634,0.0232343490268,0.00147150795327,0.000139235015151
712,"Museums, Historical Sites, and Similar Institutions",8.20982095269,8.63442393468,0.424602981993,0.0517189089067,0.00136914034951,0.00128710148162
